Id,RelatedPostId,PostId,LinkTypeId,CreationDate
4,9,20,1,2010-08-05T23:53:20.917
5,37,24,1,2010-08-10T23:15:55.670
7,48,55,1,2010-08-13T12:36:06.783
29,69,74,1,2010-08-18T20:44:25.323
30,48,74,1,2010-08-18T20:44:25.323
39,11,56,1,2010-08-19T14:09:39.177
40,4,56,1,2010-08-19T14:09:39.177
52,48,69,1,2010-08-23T18:22:50.303
67,37,101,1,2010-08-24T18:05:00.210
2043,9,127,1,2010-09-28T00:38:24.050
2801,154,4,1,2010-10-11T14:00:03.500
3132,4,154,1,2010-10-17T01:38:46.123
3349,2,83,1,2010-10-22T17:10:15.340
5674,185,184,1,2010-12-16T21:09:50.567
5707,184,185,1,2010-12-17T20:25:35.713
6046,201,200,1,2010-12-23T17:10:09.187
7955,148,224,1,2011-01-30T17:55:49.123
10681,257,279,1,2011-03-29T14:40:49.620
10932,180,284,1,2011-03-31T08:24:34.227
12383,184,292,1,2011-04-16T00:06:13.110
12959,118,297,1,2011-04-20T16:23:36.910
21011,362,369,1,2011-08-07T23:12:04.300
22187,369,372,1,2011-08-19T17:43:10.643
23388,148,392,1,2011-09-01T18:14:48.720
23389,224,392,1,2011-09-01T18:14:48.720
23515,394,224,1,2011-09-02T16:05:39.047
28291,72,423,1,2011-10-24T08:42:10.407
29147,362,447,1,2012-01-03T21:48:53.593
29797,392,492,1,2012-05-01T00:49:52.887
29798,148,492,1,2012-05-01T00:49:52.887
29799,224,492,1,2012-05-01T00:49:52.887
29825,492,495,1,2012-05-01T13:58:45.247
30229,20,512,1,2012-06-06T18:20:58.293
30230,392,511,1,2012-06-06T19:12:48.463
30231,505,511,1,2012-06-06T19:12:48.463
30341,521,148,1,2012-06-14T16:13:55.150
30477,534,554,1,2012-06-21T15:57:14.630
30528,512,555,1,2012-06-21T20:07:04.610
30534,554,534,1,2012-06-21T21:22:10.713
30952,436,586,1,2012-07-12T18:17:52.777
31231,99,597,1,2012-08-03T18:35:33.540
31314,426,599,1,2012-08-08T23:40:30.343
31375,11,604,1,2012-08-19T00:32:19.670
31663,578,622,1,2012-09-10T21:29:24.317
31716,622,635,1,2012-09-12T12:54:25.500
31855,578,637,1,2012-10-01T02:53:50.340
31860,622,643,1,2012-10-01T20:09:50.980
31861,635,643,1,2012-10-01T20:09:50.980
31862,578,643,1,2012-10-01T20:09:50.980
31863,118,643,1,2012-10-01T20:09:50.980
31864,455,643,1,2012-10-01T20:09:50.980
32051,510,653,1,2012-10-22T01:20:51.263
32188,633,661,1,2012-10-28T03:50:02.170
35343,597,677,1,2013-01-25T18:50:22.260
36023,154,4,3,2013-02-18T03:03:22.157
36024,1,10,3,2013-02-18T03:03:22.157
36025,426,599,3,2013-02-18T03:03:22.157
37296,286,716,1,2013-04-05T22:04:19.223
37329,722,716,1,2013-04-08T06:14:22.757
37759,658,756,1,2013-05-28T17:17:44.520
37825,722,764,1,2013-06-04T21:30:58.307
37879,691,771,1,2013-06-06T21:05:12.713
38024,747,778,1,2013-06-26T19:41:08.980
38310,751,809,1,2013-07-30T03:57:53.037
38386,755,35,1,2013-08-13T23:00:49.680
38482,127,819,1,2013-08-26T15:32:05.637
38483,9,819,1,2013-08-26T15:32:05.637
38484,692,819,1,2013-08-26T15:32:05.637
38485,730,819,1,2013-08-26T15:32:05.637
38752,801,833,1,2013-10-05T23:04:19.433
38873,840,845,1,2013-10-31T21:54:13.243
38911,848,55,1,2013-11-04T11:24:49.547
38912,848,847,1,2013-11-04T15:33:11.630
39965,840,1854,1,2013-11-12T08:38:43.837
40180,415,1872,1,2013-12-09T07:07:16.530
40194,224,1873,1,2013-12-10T01:09:54.657
40594,653,1892,1,2014-02-14T06:36:22.903
40595,510,1892,1,2014-02-14T06:36:22.903
40596,15,1892,1,2014-02-14T06:36:22.903
40597,852,1892,1,2014-02-14T06:36:22.903
40608,1892,1896,1,2014-02-14T16:01:37.360
